"name","institution"
"Jorge Navarro-Alberto","Universidad Autónoma de Yucatán"
"Eula Villar","La Salle Universitat Ramon Llull"
"Duje Petricevic","University of Split"
"Philip Longhurst","Cranfield University"
"Bradley McPherson","University of Hong Kong"
"Sutirtha Chatterjee","University of Nevada, Las Vegas"
"Mohammad Motlagh","Ahvaz Jundishapur"
"Abdulla Watad","University of Genoa"
"Jesús Medina Casaubón","Universidad de Granada"
"Juan Carlos Suárez-Falcón","Universidad Nacional de Educación a Distancia"
"Kelly M. Socia","University of Massachusetts Lowell"
"Juan C. Suárez-Falcón","Universidad Nacional de Educación a Distancia, Madrid"
"Zaza Iakobishvili","Sackler Faculty of Medicine, Tel Aviv University"
"Thomas Hinz","University of Konstanz"
"Jill Weinberg","American Bar Foundation in Chicago, IL"
"Damla Gökşen","Ege University Faculty of Medicine, Department of Pediatric Endocrinology, İzmir, Turkey"
"Frank Okoh","Department of Mathematics, Wayne State University, Detroit, MI, USA"
"Marjan Gorgievski","Erasmus University Rotterdam, The Netherlands"
"Gordon H. Guyatt","McMaster University"
"KatjaLozar Manfreda","University of Ljubljana"
"Marta Marecka","Institute of Psychology, Jagiellonian University, Kraków, Poland"
"Muhammad Mohd Yusoff","Institute for Public Health, Bangsar, Kuala Lumpur, Malaysia"
"Mathieu Doray","The Institut français de recherche"
"Dirk Baier","Zurich University of Applied Sciences, Switzerland"
"Christian Nielsen","London School of Economics"
"Jeffrey S. Hallam","Kent State University"
"Xiaoguang Yang","Penn State University"
"Cynthia Aristei","University of Perugia"
"Mohammad Homayounpour","Amirkabir University of Technology, Tehran, Islamic Republic of Iran"
"Andreas Hensel","University of Münster, Institute for Pharmaceutical Biology and Phytochemistry, Corrensstrasse 48, D-48149 Münster, Germany"
"Merrill Warkentin","Mississippi State University"
"Lisa M. Guirguis","University of Alberta"
"César Ricardo Maia de Vasconcelos","Universidade Potiguar (UnP)"
"A Kumar","Department of Oral and Maxillofacial Pathology, Rama Dental College Hospital and Research Centre, Kanpur, Uttar Pradesh, India"
"Manfred Beutel","Department of Psychosomatic Medicine and Psychotherapy, University Medical Center, Gutenberg University Mainz, Mainz, Germany"
"Mashallah Rezakazemi","Faculty of Chemical and Materials Engineering, Shahrood University of Technology, Shahrood, Iran"
"Laura Hoppe","Johannes Gutenberg-Universität Mainz"
"Jonas Pontusson","University of Geneva"
"Sang-Ho Jo","Hallym University Medical Center"
"James Gentry","University of Nebraska-Lincoln, Lincoln, NE, USA"
"Bhageshwar Dhami","Kantipur Dental College"
"Jennifer J. Roberts","Department of Criminology, Indiana University of Pennsylvania, Indiana, Pennsylvania, USA"
"Rainer Watermann","Freie Universität Berlin"
"Dirk Nuyens","Department of Computer Science, KU Leuven, Leuven, Belgium"
"Naika Foroutan","Humboldt University of Berlin"
"Stephen C. Bowden","University of Melbourne"
"Elyse Park","Massachusetts General Hospital, Boston, MA, USA"
"Tetsuro Kobayashi","Department of Media and Communication, City University of Hong Kong, Kowloon, Hong Kong"
"TI Okafor","University of Benin"
"Heike Solga","Freie Universität Berlin"
"Jeremy Grimshaw","University of Ottawa"
"SM Jankovic","Department of Pharmacology and Toxicology"
"Richard Johnson","Indiana Wesleyan University"
"Pei Zhi CHIA","Singapore University of Technology and Design"
"Brownsyne Tucker Edmonds","Indiana University School of Medicine"
