"","name","institution","delete"
"312","Andreas Hensel","University of Münster, Institute for Pharmaceutical Biology and Phytochemistry, Corrensstrasse 48, D-48149 Münster, Germany",""
"313","Merrill Warkentin","Mississippi State University",""
"314","Larissa Rabbiosi","Copenhagen Business School","x"
"315","Lisa M. Guirguis","University of Alberta",""
"316","César Ricardo Maia de Vasconcelos","Universidade Potiguar (UnP)",""
"317","A Kumar","Department of Oral and Maxillofacial Pathology, Rama Dental College Hospital and Research Centre, Kanpur, Uttar Pradesh, India",""
"318","Manfred Beutel","Department of Psychosomatic Medicine and Psychotherapy, University Medical Center, Gutenberg University Mainz, Mainz, Germany",""
"319","Mashallah Rezakazemi","Faculty of Chemical and Materials Engineering, Shahrood University of Technology, Shahrood, Iran",""
"320","Laura Hoppe","Johannes Gutenberg-Universität Mainz",""
"321","Jonas Pontusson","University of Geneva",""
"322","Sang-Ho Jo","Hallym University Medical Center",""
"323","James Gentry","University of Nebraska-Lincoln, Lincoln, NE, USA",""
"324","Bhageshwar Dhami","Kantipur Dental College",""
"325","Jennifer J. Roberts","Department of Criminology, Indiana University of Pennsylvania, Indiana, Pennsylvania, USA",""
"326","Rainer Watermann","Freie Universität Berlin",""
"327","Dirk Nuyens","Department of Computer Science, KU Leuven, Leuven, Belgium",""
"328","Naika Foroutan","Humboldt University of Berlin",""
"329","Stephen C. Bowden","University of Melbourne",""
"330","Elyse Park","Massachusetts General Hospital, Boston, MA, USA",""
"331","Tetsuro Kobayashi","Department of Media and Communication, City University of Hong Kong, Kowloon, Hong Kong",""
"332","TI Okafor","University of Benin",""
"333","Heike Solga","Freie Universität Berlin",""
"334","Ingrid Farreras","Hood College","x"
"335","Jeremy Grimshaw","University of Ottawa",""
"336","SM Jankovic","Department of Pharmacology and Toxicology",""
"337","Richard Johnson","Indiana Wesleyan University",""
"338","Edgar Kiser","University of Washington","x"
"339","Pei Zhi CHIA","Singapore University of Technology and Design",""
"340","Brownsyne Tucker Edmonds","Indiana University School of Medicine",""
"341","Mohammad Mehdi Homayounpour","Amirkabir University of Technology",""
"342","Robby T. Tan","Yale-NUS College and National University of Singapore, Singapore",""
"343","Volker Köllner","Center for Internal Medicine and Dermatology Charité – Universitätsmedizin Berlin",""
"344","Gordon Guyatt","Department of Medicine and Department of Health Research Methods, Evidence, and Impact, Hamilton, Ontario, Canada",""
"345","Shea Palmer","University of the West of England",""
"346","Bruce Shore","McGill University",""
"347","Ates Karateke","Istanbul Medeniyet University",""
"348","Selome Tesfatsion","Dept. of Comput. Sci. at Umea Univ.",""
"349","Lisa Guirguis","Faculty of Pharmacy and Pharmaceutical Sciences, University of Alberta, Edmonton, Alberta, Canada",""
"350","Anners Lerdal","University of Oslo",""
"351","Tim Reeskens","Tilburg University",""
"352","Mona Malhota","Maharshi Dayanand University",""
"353","J Sanchez-Paya","Unidad de Epidemiología, Servicio de Medicina Preventiva, Hospital General Universitario de Alicante, Alicante, Spain",""
"354","Pascal Siegers","GESIS - Leibniz-Institute for the Social Sciences Mannheim, Germany",""
"355","Roma Vishwanath","Apollo Hospital, India",""
"356","Renato Miceli","University of Aosta Valley",""
"357","Thomas Leeper","Department of Government, London School of Economics and Political Science",""
"358","Daniel Griffith","University of Texas at Dallas",""
"359","Martial Van der Linden","University of Geneva",""
