"name","institution","delete"
"Sebastian Spaeth","University of Hamburg",""
"Zuo, Jing","Reflections on Professional Ethics Education in College Journalism",""
"Thomas Hinz","University of KonstanzKonstanzGermany",""
"Rajiv Ranjan","School of Computer Science, Newcastle University, Newcastle Upon Tyne, United Kingdom",""
"Bharti Dua","Department of Prosthodontics, Inderprastha Dental College, Ghaziabad, U.P.",""
"Frank Hänsel","Institute of Sport Sciences,  Technical University Darmstadt",""
"Noyes Harrigan","WK Dickson & Co., Inc",""
"Ratnawati Ashraf","International Islamic University Malaysia",""
"Bharti Dua","Inderprastha Dental College",""
"John Mulhall","Department of Urology, Memorial Sloan Kettering Cancer Center, New York, NY, USA",""
"Caitlin McGrath,","Department of Pediatrics, University of Washington, Seattle, Washington",""
"RAZAVIZADEH NEDA","ACECR RESEARCH CENTER FOR TOURISM",""
"Alexandra Morales","Universidad Miguel Hernández",""
"Robert J. Adams","University of Adelaide",""
"D. Pittet","University of Geneva Hospitals and Faculty of Medicine",""
"A Ishola","Psychology, University of lbadan,lbadan,Nigeria",""
"Pedro M. Arezes","University of Minho",""
"Timothy Ricks","None",""
"Katrin Auspurg","Universität Konstanz, Fachbereich Geschichte und Soziologie",""
"Clau Dermont","University of Zurich",""
"Virginia Sánchez Jiménez","Universidad de Sevilla",""
"En Mao","Nicholls State University",""
"Kathryn Sibley","University of Manitoba",""
"Jian-Xun Mi","Chongqing Key Laboratory of Computational IntelligenceChongqing University of Posts and Telecommunications, Laboratory of Machine Intelligence and Advanced Computing (Sun Yat-sen University), Ministry of Education",""
"Kai Larsen","University of Colorado, Boulder",""
"Arturo Hernández","Universidad Politécnica de Querétaro",""
"Maya Sen","Cambridge University",""
"Samia Hurst","Faculty of Medicine University of Geneva",""
"Jack Cuzick","Queen Mary University",""
"Peter Graeff","University of Kiel, Institute of Social Sciences, Westring 400, 24118 Kiel, Germany",""
"Alexander Rothman","University of Minnesota",""
"ANNA BARTCZAK","University of Warsaw",""
"Om Silakari","Molecular Modelling Lab (MML), Department of Pharmaceutical Sciences and Drug research, Punjabi University, Patiala, Punjab, 147002, India",""
"Biplob Das","Khulna Medical College",""
"Single Single","Single",""
